Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.3225,0.110622407,164.81659081787515,168.83568073079843,5.187356437861046e-08,191.44788128895422,1.8446707958328357e-08,0.0022408866391503426,1.820606905285229e-12,0.002545844874186995,7.294216556618996e-13,0.0012543939353770652,2.940600515289248e-14,0.00111402893020077,3.46117405816751e-14
0.3165,0.108564315,164.81728756820502,179.60315039026366,4.867552413872848e-08,191.481484680214,2.024050119136815e-08,0.0023799524863214413,1.6799578038681122e-12,0.0025470583771132014,8.280535674409597e-13,0.0012567455108151223,2.6911673045438648e-14,0.0011139406541709727,3.6838545067304843e-14
0.2805,0.096215768,164.82076767399386,174.08945171259833,4.8559198371271874e-08,191.51498855580135,1.852611232380259e-08,0.0023308377769739527,1.6190484242557965e-12,0.0025462603477334326,7.592295136867229e-13,0.0012590019718654736,2.3188813203625443e-14,0.0011135640536200637,3.504354701090192e-14
0.2745,0.094157676,164.8219737632104,173.83897065825033,4.835803694724639e-08,191.5456090784931,2.016391338497657e-08,0.0023269533404538484,1.6543405639768113e-12,0.002546643861002884,8.216200720726135e-13,0.0012581507773027486,1.9491937546257834e-14,0.0011134500446607757,3.563379351282977e-14
0.2655,0.091070539,164.8238805380518,175.20691238300392,5.271931057662865e-08,191.57708251347117,1.8383303369192893e-08,0.002354814615675099,1.7794354820273803e-12,0.002546461370023548,7.597938452425842e-13,0.0012556120493760685,2.0929459956316374e-14,0.0011132923611305735,3.4650397200672104e-14
0.2595,0.089012448,164.82518358785975,173.02551599131434,5.7178555061091853e-08,191.61018717128792,1.9058782042927668e-08,0.0023138046585443935,1.876750147313055e-12,0.002546478250961913,7.72353711079214e-13,0.001256247767439314,2.6573222460999794e-14,0.0011131613856442115,3.641288330944619e-14
0.2535,0.086954357,164.82654690099832,172.7826015452635,5.673177873873861e-08,191.6333968415369,2.1056061449477997e-08,0.002310511258319372,1.7897969171755245e-12,0.002546500005590923,7.937473172059188e-13,0.0012556627454885208,2.4655559970820117e-14,0.0011130593092937748,3.8496771147461006e-14
0.2505,0.085925311,164.82740770996907,172.74534029784274,5.017929187841028e-08,191.64449955769996,1.864023002673024e-08,0.0023091352348650687,1.735988378713399e-12,0.0025464705666923275,7.229909813312878e-13,0.0012554667228293706,1.8703840390843137e-14,0.0011130070341402534,3.2840585130665334e-14
0.2475,0.084896266,164.82801827479915,172.56230673740845,5.5166645757436055e-08,191.65373435313114,1.6843627129105925e-08,0.0023109201940779904,1.87443594632794e-12,0.002546434189440551,7.030755165631525e-13,0.0012533978347105278,2.7998839248743155e-14,0.0011129539169564468,3.099869341951989e-14
0.2445,0.08386722,164.82871642152404,172.64459963171416,5.1024779631749115e-08,191.6685158461356,1.900861338004356e-08,0.0023162028924622515,1.7274323847965932e-12,0.0025465324097848573,7.643359689526336e-13,0.001253549711421241,2.1859008143594347e-14,0.0011129074329839113,3.533097571991968e-14
0.2415,0.082838174,164.8295137376833,172.440827899503,4.4839257201479784e-08,191.66927879821438,1.8137417019843116e-08,0.002315392879188642,1.5611673446321685e-12,0.0025464374672957758,6.771878852132523e-13,0.0012531330299802833,1.9923156265595155e-14,0.001112874419574309,3.4399255958204406e-14
0.2355,0.080780083,164.8314238029391,171.70542934694222,5.5474463464272956e-08,191.70001032580544,1.81146160048585e-08,0.0023008365161012395,1.9825235451490303e-12,0.0025467321891428675,7.294289103747861e-13,0.001252566136411343,2.0353148387624613e-14,0.0011127522853248302,3.5432865111053455e-14
